Date,Daily Cases,Daily Deaths,Daily Hospitalizations,Cumulative Deaths
2020-03-01,0,0,2.0,0
2020-03-02,0,0,1.0,0
2020-03-03,0,0,3.0,0
2020-03-04,0,0,2.0,0
2020-03-05,1,0,6.0,0
2020-03-06,3,0,2.0,0
2020-03-07,3,0,3.0,0
2020-03-08,3,0,7.0,0
2020-03-09,5,0,3.0,0
2020-03-10,11,0,5.0,0
2020-03-11,13,0,7.0,0
2020-03-12,21,0,7.0,0
2020-03-13,32,0,8.0,0
2020-03-14,31,0,9.0,0
2020-03-15,40,0,21.0,0
2020-03-16,78,1,14.0,1
2020-03-17,96,1,24.0,2
2020-03-18,162,1,38.0,3
2020-03-19,184,2,36.0,5
2020-03-20,155,0,52.0,5
2020-03-21,125,2,62.0,7
2020-03-22,168,2,68.0,9
2020-03-23,290,3,100.0,12
2020-03-24,350,2,119.0,14
2020-03-25,367,5,124.0,19
2020-03-26,413,2,131.0,21
2020-03-27,404,8,154.0,29
2020-03-28,248,4,132.0,33
2020-03-29,282,20,130.0,53
2020-03-30,439,12,158.0,65
2020-03-31,490,16,161.0,81
2020-04-01,462,24,181.0,105
2020-04-02,437,15,170.0,120
2020-04-03,466,24,160.0,144
2020-04-04,327,22,159.0,166
2020-04-05,292,26,147.0,192
2020-04-06,583,22,200.0,214
2020-04-07,556,25,194.0,239
2020-04-08,705,36,172.0,275
2020-04-09,575,25,150.0,300
2020-04-10,571,32,155.0,332
2020-04-11,397,33,142.0,365
2020-04-12,341,33,136.0,398
2020-04-13,694,33,153.0,431
2020-04-14,666,33,166.0,464
2020-04-15,632,31,149.0,495
2020-04-16,678,31,152.0,526
2020-04-17,776,43,147.0,569
2020-04-18,535,39,161.0,608
2020-04-19,459,35,158.0,643
2020-04-20,990,40,181.0,683
2020-04-21,875,36,171.0,719
2020-04-22,1057,45,145.0,764
2020-04-23,1468,36,167.0,800
2020-04-24,1074,54,168.0,854
2020-04-25,632,38,117.0,892
2020-04-26,434,51,129.0,943
2020-04-27,1158,35,169.0,978
2020-04-28,1324,56,174.0,1034
2020-04-29,1152,44,158.0,1078
2020-04-30,1271,40,168.0,1118
2020-05-01,1169,39,140.0,1157
2020-05-02,719,49,164.0,1206
2020-05-03,466,45,138.0,1251
2020-05-04,1120,48,127.0,1299
2020-05-05,1091,58,156.0,1357
2020-05-06,971,44,134.0,1401
2020-05-07,938,49,141.0,1450
2020-05-08,923,44,97.0,1494
2020-05-09,520,53,97.0,1547
2020-05-10,307,38,100.0,1585
2020-05-11,1017,38,128.0,1623
2020-05-12,942,46,124.0,1669
2020-05-13,875,45,124.0,1714
2020-05-14,777,45,131.0,1759
2020-05-15,970,49,110.0,1808
2020-05-16,514,28,102.0,1836
2020-05-17,326,42,97.0,1878
2020-05-18,945,33,113.0,1911
2020-05-19,890,27,100.0,1938
2020-05-20,771,29,94.0,1967
2020-05-21,800,34,109.0,2001
2020-05-22,724,36,92.0,2037
2020-05-23,327,30,91.0,2067
2020-05-24,279,27,92.0,2094
2020-05-25,252,23,78.0,2117
2020-05-26,755,23,77.0,2140
2020-05-27,615,26,65.0,2166
2020-05-28,524,22,70.0,2188
2020-05-29,460,20,50.0,2208
2020-05-30,238,21,55.0,2229
2020-05-31,121,22,39.0,2251
2020-06-01,234,21,63.0,2272
2020-06-02,244,25,50.0,2297
2020-06-03,280,21,50.0,2318
2020-06-04,319,15,31.0,2333
2020-06-05,339,17,42.0,2350
2020-06-06,170,20,38.0,2370
2020-06-07,111,20,31.0,2390
2020-06-08,274,15,43.0,2405
2020-06-09,254,23,38.0,2428
2020-06-10,233,12,29.0,2440
2020-06-11,203,10,28.0,2450
2020-06-12,248,21,24.0,2471
2020-06-13,120,18,23.0,2489
2020-06-14,92,12,27.0,2501
2020-06-15,235,20,31.0,2521
2020-06-16,209,11,24.0,2532
2020-06-17,219,21,29.0,2553
2020-06-18,184,14,29.0,2567
2020-06-19,220,15,37.0,2582
2020-06-20,126,10,20.0,2592
2020-06-21,48,11,16.0,2603
2020-06-22,218,9,31.0,2612
2020-06-23,234,8,26.0,2620
2020-06-24,245,9,25.0,2629
2020-06-25,249,11,22.0,2640
2020-06-26,219,13,29.0,2653
2020-06-27,130,5,15.0,2658
2020-06-28,110,5,27.0,2663
2020-06-29,280,7,31.0,2670
2020-06-30,265,3,26.0,2673
2020-07-01,266,13,22.0,2686
2020-07-02,256,6,25.0,2692
2020-07-03,176,5,29.0,2697
2020-07-04,62,5,14.0,2702
2020-07-05,89,3,17.0,2705
2020-07-06,283,5,31.0,2710
2020-07-07,342,4,25.0,2714
2020-07-08,308,4,28.0,2718
2020-07-09,288,8,29.0,2726
2020-07-10,346,6,30.0,2732
2020-07-11,154,2,19.0,2734
2020-07-12,97,4,15.0,2738
2020-07-13,337,3,33.0,2741
2020-07-14,325,3,23.0,2744
2020-07-15,268,7,23.0,2751
2020-07-16,297,2,28.0,2753
2020-07-17,326,3,26.0,2756
2020-07-18,132,4,15.0,2760
2020-07-19,100,2,22.0,2762
2020-07-20,394,5,25.0,2767
2020-07-21,291,1,31.0,2768
2020-07-22,365,4,34.0,2772
2020-07-23,319,3,29.0,2775
2020-07-24,347,3,26.0,2778
2020-07-25,156,8,21.0,2786
2020-07-26,97,6,18.0,2792
2020-07-27,362,1,19.0,2793
2020-07-28,332,3,17.0,2796
2020-07-29,446,3,19.0,2799
2020-07-30,341,3,17.0,2802
2020-07-31,392,2,24.0,2804
2020-08-01,141,5,22.0,2809
2020-08-02,96,3,21.0,2812
2020-08-03,428,3,31.0,2815
2020-08-04,369,2,32.0,2817
2020-08-05,379,4,20.0,2821
2020-08-06,349,4,21.0,2825
2020-08-07,418,2,25.0,2827
2020-08-08,177,3,16.0,2830
2020-08-09,115,2,17.0,2832
2020-08-10,376,1,29.0,2833
2020-08-11,386,4,22.0,2837
2020-08-12,433,2,28.0,2839
2020-08-13,391,4,24.0,2843
2020-08-14,347,3,26.0,2846
2020-08-15,220,5,21.0,2851
2020-08-16,120,3,18.0,2854
2020-08-17,493,3,26.0,2857
2020-08-18,412,1,25.0,2858
2020-08-19,485,5,22.0,2863
2020-08-20,422,3,24.0,2866
2020-08-21,430,5,21.0,2871
2020-08-22,191,2,17.0,2873
2020-08-23,130,1,26.0,2874
2020-08-24,555,3,24.0,2877
2020-08-25,413,4,29.0,2881
2020-08-26,388,3,35.0,2884
2020-08-27,382,2,24.0,2886
2020-08-28,382,4,25.0,2890
2020-08-29,234,4,25.0,2894
2020-08-30,100,5,22.0,2899
2020-08-31,413,2,31.0,2901
2020-09-01,331,3,17.0,2904
2020-09-02,406,3,21.0,2907
2020-09-03,341,3,24.0,2910
2020-09-04,395,2,23.0,2912
2020-09-05,203,3,23.0,2915
2020-09-06,143,2,11.0,2917
2020-09-07,72,1,17.0,2918
2020-09-08,369,1,21.0,2919
2020-09-09,400,5,21.0,2924
2020-09-10,328,2,19.0,2926
2020-09-11,342,5,19.0,2931
2020-09-12,136,0,11.0,2931
2020-09-13,124,3,26.0,2934
2020-09-14,430,3,19.0,2937
2020-09-15,352,1,21.0,2938
2020-09-16,366,4,32.0,2942
2020-09-17,393,0,25.0,2942
2020-09-18,358,4,20.0,2946
2020-09-19,170,2,19.0,2948
2020-09-20,108,6,17.0,2954
2020-09-21,422,2,26.0,2956
2020-09-22,351,2,28.0,2958
2020-09-23,391,6,25.0,2964
2020-09-24,408,5,21.0,2969
2020-09-25,380,3,37.0,2972
2020-09-26,233,4,19.0,2976
2020-09-27,168,1,30.0,2977
2020-09-28,420,2,28.0,2979
2020-09-29,381,6,28.0,2985
2020-09-30,463,2,22.0,2987
2020-10-01,364,4,26.0,2991
2020-10-02,415,4,27.0,2995
2020-10-03,227,3,31.0,2998
2020-10-04,152,5,22.0,3003
2020-10-05,553,3,22.0,3006
2020-10-06,560,2,29.0,3008
2020-10-07,549,1,26.0,3009
2020-10-08,612,3,28.0,3012
2020-10-09,668,4,30.0,3016
2020-10-10,442,5,32.0,3021
2020-10-11,301,4,30.0,3025
2020-10-12,682,4,37.0,3029
2020-10-13,880,5,31.0,3034
2020-10-14,850,3,28.0,3037
2020-10-15,907,2,37.0,3039
2020-10-16,954,3,40.0,3042
2020-10-17,547,5,44.0,3047
2020-10-18,347,1,48.0,3048
2020-10-19,1166,3,51.0,3051
2020-10-20,1197,5,56.0,3056
2020-10-21,1181,6,60.0,3062
2020-10-22,1307,4,67.0,3066
2020-10-23,1017,4,66.0,3070
2020-10-24,886,5,62.0,3075
2020-10-25,526,10,44.0,3085
2020-10-26,1541,8,78.0,3093
2020-10-27,1628,4,89.0,3097
2020-10-28,1739,9,91.0,3106
2020-10-29,1890,4,88.0,3110
2020-10-30,1872,4,84.0,3114
2020-10-31,1069,10,82.0,3124
2020-11-01,734,6,74.0,3130
2020-11-02,2324,15,109.0,3145
2020-11-03,2144,13,108.0,3158
2020-11-04,2516,8,96.0,3166
2020-11-05,2639,6,115.0,3172
2020-11-06,2797,10,124.0,3182
2020-11-07,1571,14,114.0,3196
2020-11-08,1105,11,109.0,3207
2020-11-09,3231,14,145.0,3221
2020-11-10,3356,14,140.0,3235
2020-11-11,2490,9,129.0,3244
2020-11-12,2928,18,114.0,3262
2020-11-13,2694,19,121.0,3281
2020-11-14,1400,16,104.0,3297
2020-11-15,835,13,124.0,3310
2020-11-16,2558,26,153.0,3336
2020-11-17,2466,21,144.0,3357
2020-11-18,2327,17,120.0,3374
2020-11-19,2169,17,119.0,3391
2020-11-20,2302,31,124.0,3422
2020-11-21,1263,18,99.0,3440
2020-11-22,782,15,102.0,3455
2020-11-23,2377,19,126.0,3474
2020-11-24,1927,17,123.0,3491
2020-11-25,1834,17,110.0,3508
2020-11-26,266,22,103.0,3530
2020-11-27,1255,23,136.0,3553
2020-11-28,1373,17,116.0,3570
2020-11-29,898,17,93.0,3587
2020-11-30,2390,23,123.0,3610
2020-12-01,2189,36,129.0,3646
2020-12-02,2051,35,107.0,3681
2020-12-03,2072,30,117.0,3711
2020-12-04,1856,32,104.0,3743
2020-12-05,1205,13,84.0,3756
2020-12-06,709,27,91.0,3783
2020-12-07,2068,35,109.0,3818
2020-12-08,2056,35,85.0,3853
2020-12-09,1757,28,113.0,3881
2020-12-10,1705,19,116.0,3900
2020-12-11,1671,28,110.0,3928
2020-12-12,915,21,79.0,3949
2020-12-13,609,23,73.0,3972
2020-12-14,1462,21,106.0,3993
2020-12-15,1616,22,87.0,4015
2020-12-16,1387,25,83.0,4040
2020-12-17,1349,24,90.0,4064
2020-12-18,1300,19,81.0,4083
2020-12-19,852,24,80.0,4107
2020-12-20,581,30,70.0,4137
2020-12-21,1465,26,92.0,4163
2020-12-22,1339,17,84.0,4180
2020-12-23,1222,21,95.0,4201
2020-12-24,621,21,49.0,4222
2020-12-25,160,20,69.0,4242
2020-12-26,957,19,81.0,4261
2020-12-27,613,24,92.0,4285
2020-12-28,1665,18,80.0,4303
2020-12-29,1713,21,66.0,4324
2020-12-30,1447,23,63.0,4347
2020-12-31,973,22,71.0,4369
2021-01-01,266,20,73.0,4389
2021-01-02,1115,21,62.0,4410
2021-01-03,648,20,63.0,4430
2021-01-04,1875,10,86.0,4440
2021-01-05,1599,16,85.0,4456
2021-01-06,1457,13,66.0,4469
2021-01-07,1382,17,85.0,4486
2021-01-08,1206,18,48.0,4504
2021-01-09,781,17,51.0,4521
2021-01-10,496,18,63.0,4539
2021-01-11,1354,16,83.0,4555
2021-01-12,1087,12,57.0,4567
2021-01-13,1113,18,63.0,4585
2021-01-14,1052,15,59.0,4600
2021-01-15,1023,11,53.0,4611
2021-01-16,624,15,60.0,4626
2021-01-17,392,15,52.0,4641
2021-01-18,715,14,65.0,4655
2021-01-19,1085,19,65.0,4674
2021-01-20,788,12,57.0,4686
2021-01-21,817,10,62.0,4696
2021-01-22,738,12,50.0,4708
2021-01-23,584,9,54.0,4717
2021-01-24,339,16,47.0,4733
2021-01-25,859,11,68.0,4744
2021-01-26,643,12,53.0,4756
2021-01-27,658,14,47.0,4770
2021-01-28,608,10,46.0,4780
2021-01-29,590,16,42.0,4796
2021-01-30,420,12,36.0,4808
2021-01-31,160,16,36.0,4824
2021-02-01,608,9,41.0,4833
2021-02-02,646,6,46.0,4839
2021-02-03,574,7,40.0,4846
2021-02-04,537,9,51.0,4855
2021-02-05,403,8,44.0,4863
2021-02-06,263,13,28.0,4876
2021-02-07,212,8,38.0,4884
2021-02-08,387,13,53.0,4897
2021-02-09,414,8,35.0,4905
2021-02-10,368,11,48.0,4916
2021-02-11,438,10,38.0,4926
2021-02-12,357,13,28.0,4939
2021-02-13,221,8,28.0,4947
2021-02-14,143,9,20.0,4956
2021-02-15,259,7,23.0,4963
2021-02-16,213,5,34.0,4968
2021-02-17,386,8,33.0,4976
2021-02-18,315,6,36.0,4982
2021-02-19,319,7,32.0,4989
2021-02-20,213,9,17.0,4998
2021-02-21,157,9,22.0,5007
2021-02-22,390,8,28.0,5015
2021-02-23,315,12,18.0,5027
2021-02-24,338,4,32.0,5031
2021-02-25,282,8,21.0,5039
2021-02-26,359,6,20.0,5045
2021-02-27,177,7,17.0,5052
2021-02-28,149,3,18.0,5055
2021-03-01,312,2,26.0,5057
2021-03-02,327,7,30.0,5064
2021-03-03,337,5,23.0,5069
2021-03-04,288,8,26.0,5077
2021-03-05,291,6,23.0,5083
2021-03-06,218,2,31.0,5085
2021-03-07,173,4,12.0,5089
2021-03-08,325,5,23.0,5094
2021-03-09,328,5,22.0,5099
2021-03-10,333,10,17.0,5109
2021-03-11,344,1,25.0,5110
2021-03-12,347,9,16.0,5119
2021-03-13,255,2,16.0,5121
2021-03-14,183,4,18.0,5125
2021-03-15,365,6,34.0,5131
2021-03-16,441,3,28.0,5134
2021-03-17,476,9,28.0,5143
2021-03-18,418,3,33.0,5146
2021-03-19,434,2,32.0,5148
2021-03-20,277,6,30.0,5154
2021-03-21,222,4,48.0,5158
2021-03-22,546,1,30.0,5159
2021-03-23,569,5,43.0,5164
2021-03-24,684,6,31.0,5170
2021-03-25,675,3,33.0,5173
2021-03-26,601,6,37.0,5179
2021-03-27,413,4,34.0,5183
2021-03-28,354,7,44.0,5190
2021-03-29,729,3,42.0,5193
2021-03-30,738,3,42.0,5196
2021-03-31,718,4,47.0,5200
2021-04-01,721,2,43.0,5202
2021-04-02,679,3,57.0,5205
2021-04-03,471,9,46.0,5214
2021-04-04,308,5,41.0,5219
2021-04-05,944,6,48.0,5225
2021-04-06,852,4,66.0,5229
2021-04-07,836,3,55.0,5232
2021-04-08,856,6,64.0,5238
2021-04-09,767,5,60.0,5243
2021-04-10,553,8,50.0,5251
2021-04-11,362,5,52.0,5256
2021-04-12,864,5,58.0,5261
2021-04-13,677,4,52.0,5265
2021-04-14,774,9,52.0,5274
2021-04-15,640,9,58.0,5283
2021-04-16,657,6,57.0,5289
2021-04-17,438,6,60.0,5295
2021-04-18,316,7,53.0,5302
2021-04-19,661,7,56.0,5309
2021-04-20,565,5,54.0,5314
2021-04-21,656,8,71.0,5322
2021-04-22,583,4,68.0,5326
2021-04-23,533,7,50.0,5333
2021-04-24,412,10,46.0,5343
2021-04-25,275,11,50.0,5354
2021-04-26,652,6,58.0,5360
2021-04-27,565,5,56.0,5365
2021-04-28,574,5,49.0,5370
2021-04-29,531,7,48.0,5377
2021-04-30,551,9,50.0,5386
2021-05-01,352,4,56.0,5390
2021-05-02,231,14,50.0,5404
2021-05-03,553,6,62.0,5410
2021-05-04,466,6,53.0,5416
2021-05-05,483,6,48.0,5422
2021-05-06,402,8,56.0,5430
2021-05-07,365,11,35.0,5441
2021-05-08,271,8,43.0,5449
2021-05-09,167,9,48.0,5458
2021-05-10,400,6,42.0,5464
2021-05-11,309,9,34.0,5473
2021-05-12,341,6,37.0,5479
2021-05-13,316,8,45.0,5487
2021-05-14,291,6,33.0,5493
2021-05-15,177,6,42.0,5499
2021-05-16,156,10,34.0,5509
2021-05-17,347,6,48.0,5515
2021-05-18,286,6,33.0,5521
2021-05-19,279,7,39.0,5528
2021-05-20,248,4,39.0,5532
2021-05-21,246,6,30.0,5538
2021-05-22,131,5,34.0,5543
2021-05-23,95,6,27.0,5549
2021-05-24,216,4,33.0,5553
2021-05-25,127,3,23.0,5556
2021-05-26,171,6,31.0,5562
2021-05-27,122,6,18.0,5568
2021-05-28,139,4,21.0,5572
2021-05-29,89,7,23.0,5579
2021-05-30,52,7,10.0,5586
2021-05-31,45,2,18.0,5588
2021-06-01,127,5,22.0,5593
2021-06-02,101,7,17.0,5600
2021-06-03,96,7,16.0,5607
2021-06-04,75,6,16.0,5613
2021-06-05,62,6,10.0,5619
2021-06-06,58,7,16.0,5626
2021-06-07,102,9,16.0,5635
2021-06-08,74,4,15.0,5639
2021-06-09,64,4,6.0,5643
2021-06-10,40,2,16.0,5645
2021-06-11,39,2,14.0,5647
2021-06-12,46,5,9.0,5652
2021-06-13,28,5,5.0,5657
2021-06-14,67,3,8.0,5660
2021-06-15,52,3,5.0,5663
2021-06-16,36,1,4.0,5664
2021-06-17,35,2,6.0,5666
2021-06-18,35,2,9.0,5668
2021-06-19,30,2,5.0,5670
2021-06-20,27,1,6.0,5671
2021-06-21,46,3,5.0,5674
2021-06-22,33,3,3.0,5677
2021-06-23,47,0,6.0,5677
2021-06-24,45,0,11.0,5677
2021-06-25,35,3,4.0,5680
2021-06-26,20,0,4.0,5680
2021-06-27,16,1,1.0,5681
2021-06-28,50,2,11.0,5683
2021-06-29,56,2,4.0,5685
2021-06-30,51,0,6.0,5685
2021-07-01,32,2,7.0,5687
2021-07-02,55,1,6.0,5688
2021-07-03,49,0,6.0,5688
2021-07-04,18,1,4.0,5689
2021-07-05,58,2,6.0,5691
2021-07-06,75,2,7.0,5693
2021-07-07,73,2,6.0,5695
2021-07-08,76,0,5.0,5695
2021-07-09,84,1,7.0,5696
2021-07-10,50,0,7.0,5696
2021-07-11,69,2,7.0,5698
2021-07-12,103,0,9.0,5698
2021-07-13,103,2,11.0,5700
2021-07-14,141,2,7.0,5702
2021-07-15,133,0,7.0,5702
2021-07-16,154,1,10.0,5703
2021-07-17,122,0,8.0,5703
2021-07-18,92,0,6.0,5703
2021-07-19,203,1,17.0,5704
2021-07-20,188,3,14.0,5707
2021-07-21,217,0,10.0,5707
2021-07-22,223,1,13.0,5708
2021-07-23,241,3,19.0,5711
2021-07-24,195,0,15.0,5711
2021-07-25,141,3,13.0,5714
2021-07-26,325,2,24.0,5716
2021-07-27,301,1,21.0,5717
2021-07-28,348,3,27.0,5720
2021-07-29,323,1,19.0,5721
2021-07-30,355,2,18.0,5723
2021-07-31,270,5,27.0,5728
2021-08-01,216,4,16.0,5732
2021-08-02,472,3,23.0,5735
2021-08-03,436,1,14.0,5736
2021-08-04,497,3,29.0,5739
2021-08-05,478,2,33.0,5741
2021-08-06,465,5,29.0,5746
2021-08-07,314,2,28.0,5748
2021-08-08,270,2,29.0,5750
2021-08-09,504,4,31.0,5754
2021-08-10,536,4,38.0,5758
2021-08-11,600,2,20.0,5760
2021-08-12,591,2,29.0,5762
2021-08-13,624,3,35.0,5765
2021-08-14,407,6,45.0,5771
2021-08-15,289,5,31.0,5776
2021-08-16,589,3,24.0,5779
2021-08-17,561,3,36.0,5782
2021-08-18,557,3,26.0,5785
2021-08-19,548,5,33.0,5790
2021-08-20,563,4,30.0,5794
2021-08-21,373,1,49.0,5795
2021-08-22,282,5,33.0,5800
2021-08-23,645,2,53.0,5802
2021-08-24,563,3,35.0,5805
2021-08-25,607,6,41.0,5811
2021-08-26,584,3,44.0,5814
2021-08-27,541,3,39.0,5817
2021-08-28,362,3,28.0,5820
2021-08-29,308,2,24.0,5822
2021-08-30,597,5,43.0,5827
2021-08-31,529,7,45.0,5834
2021-09-01,531,5,29.0,5839
2021-09-02,488,5,38.0,5844
2021-09-03,505,6,44.0,5850
2021-09-04,334,5,32.0,5855
2021-09-05,315,4,31.0,5859
2021-09-06,274,4,25.0,5863
2021-09-07,564,3,38.0,5866
2021-09-08,652,7,47.0,5873
2021-09-09,512,4,39.0,5877
2021-09-10,515,5,23.0,5882
2021-09-11,317,5,31.0,5887
2021-09-12,262,4,35.0,5891
2021-09-13,550,7,40.0,5898
2021-09-14,492,5,32.0,5903
2021-09-15,509,4,16.0,5907
2021-09-16,466,6,33.0,5913
2021-09-17,436,5,36.0,5918
2021-09-18,307,3,24.0,5921
2021-09-19,241,2,28.0,5923
2021-09-20,479,5,29.0,5928
2021-09-21,463,6,36.0,5934
2021-09-22,401,7,24.0,5941
2021-09-23,362,5,33.0,5946
2021-09-24,353,7,22.0,5953
2021-09-25,229,2,25.0,5955
2021-09-26,203,9,24.0,5964
2021-09-27,473,6,38.0,5970
2021-09-28,382,4,20.0,5974
2021-09-29,415,3,25.0,5977
2021-09-30,463,7,27.0,5984
2021-10-01,382,3,33.0,5987
2021-10-02,236,4,24.0,5991
2021-10-03,203,4,26.0,5995
2021-10-04,420,3,22.0,5998
2021-10-05,377,3,23.0,6001
2021-10-06,364,5,32.0,6006
2021-10-07,373,4,18.0,6010
2021-10-08,310,6,21.0,6016
2021-10-09,233,4,20.0,6020
2021-10-10,168,5,26.0,6025
2021-10-11,312,4,20.0,6029
2021-10-12,362,6,20.0,6035
2021-10-13,354,4,23.0,6039
2021-10-14,340,1,32.0,6040
2021-10-15,302,1,16.0,6041
2021-10-16,176,3,17.0,6044
2021-10-17,199,7,10.0,6051
2021-10-18,350,1,18.0,6052
2021-10-19,323,1,7.0,6053
2021-10-20,312,4,1.0,6057
2021-10-21,349,4,6.0,6061
